證券代號,股本
2383,35.8321114
2385,76.0053172
2387,19.5251051
2388,55.5789941
2390,19.2619442
2392,51.232694
2393,44.3393086
2395,86.5830245
2397,11.4488857
2399,17.81
2401,59.1994919
2402,30.7536533
2404,19.0586698
2405,34.3427303
2406,35.0905689
2408,345.0205894
2409,754.7098972
2412,775.7446545
2413,12.73592
2414,16.1735846
2415,9.0
2417,15.7293864
2419,32.1317229
2420,15.2648688
2421,28.6943669
2423,14.5047289
2424,5.9585
2425,9.6498831
2426,30.0622252
2427,19.7999573
2428,12.8112726
2429,8.55
2430,11.68
2431,11.0927014
2432,6.186
2433,14.4496011
2434,3.7
2436,19.9928074
2438,7.1195641
2439,25.3826914
2440,13.9117271
2441,56.8845921
2442,32.5232021
2444,10.1569573
2449,122.2745065
2450,25.8252657
2451,43.0692675
2453,10.0
2454,160.390429
2455,18.4905918
2457,42.4772416
2458,30.3880392
2459,10.5595615
2460,16.92
2461,17.499835
2462,15.0784482
2464,20.6351226
2465,9.3946031
2466,17.3458697
2467,15.6755348
2468,6.9961249
2471,4.725389
2472,16.4735137
2474,56.1369068
2476,21.775318
2477,15.8573244
2478,14.4731339
2480,10.6360291
2481,38.2114927
2482,7.7882711
2483,10.7889807
2484,15.9421022
2485,31.7689037
2486,23.3958579
2488,7.9999433
2489,61.0
2491,8.2008
2492,48.5804774
2493,12.6796629
2495,27.3551538
2496,1.910044
2497,13.0887676
2498,83.6021086
2501,115.9561059
2504,118.0
2505,38.0
2506,38.7
2509,22.455053
2511,162.3326147
2514,39.4729278
2515,160.7904084
2516,22.6278457
2520,60.948711
2524,36.5983545
2527,27.0306
2528,43.4026467
2530,84.1255731
2534,47.422797
2535,27.0793967
2536,33.2808652
2537,30.0557795
2538,44.5025495
2539,119.3102581
2540,94.4873965
2542,217.3083539
2543,52.8541961
2545,37.9734808
2546,13.0524193
2547,103.5094649
2548,31.9718697
2597,31.0716
2601,82.4776067
2603,216.5042996
2605,58.5353297
2606,84.5055712
2607,53.3570547
2608,46.7000498
2609,349.210427
2610,608.3923559
2611,18.9002272
2612,19.7484593
2613,14.8423458
2614,32.7264946
2615,280.6146293
2616,13.7281827
2617,41.7294487
2618,540.0444335
2630,20.9438204
2633,562.8293058
2634,94.1867101
2636,14.183523
2637,74.6409199
2642,9.5467
2645,37.4570962
2646,300.8735
2701,44.9967838
2702,15.6613249
2704,36.6923343
2705,19.131283
2706,49.9998346
2707,12.7403238
2712,10.5
2722,14.3169696
2723,18.0
2727,8.2940109
2731,9.3277739
2739,9.1526
2748,10.577874
2753,6.6644796
2762,11.25
2801,1176.6046253
2812,602.1625921
2816,22.3608
2820,134.296
2832,25.354028
2834,971.8061849
2836,187.9916985
2838,454.0551779
2845,486.5284731
2849,195.7609349
2850,31.59633
2851,80.038875
2852,30.1163784
2855,160.1414478
2867,589.9501044
2880,1391.6965089
2881,1560.7354952
2882,1620.2510128
2883,1855.6989414
2884,1617.4
2885,1333.1149946
2886,1483.3378282
2887,2935.7487782
2889,363.3563471
2890,1450.2322275
2891,2017.7806903
2892,1437.946865
2897,305.5357878
2901,7.3043283
2903,141.6940589
2904,7.7834432
2905,111.0371703
2906,20.9116648
2908,50.9887558
2910,17.5403
2911,10.5125999
2912,103.9622255
2913,79.0
2915,110.4318772
2923,174.0296982
2929,10.9493838
2939,4.5548665
2945,6.75
3002,10.2
3003,15.565489
3004,6.4258355
3005,62.247865
3006,29.7741488
3008,13.3468197
3010,25.9436817
3011,12.9646851
3013,20.513893
3014,16.5987124
3015,18.726195
3016,28.8541819
3017,39.2178807
3018,7.5377715
3019,27.9243901
3021,9.489
3022,17.659779
3023,24.0069014
3024,27.7157496
3025,5.673644
3026,16.5890318
3027,12.9960299
3028,23.7241193
3029,16.7005212
3030,23.6216
3031,17.3203224
3032,11.3285626
3033,48.0683741
3034,60.8511469
3035,26.0550313
3036,126.5430751
3037,157.5531197
3038,15.7407603
3040,6.6127082
3041,14.0223647
3042,34.2992971
3043,3.8975634
3044,52.5605898
3045,372.3261811
3046,7.8448013
3047,22.4649108
3048,26.9829794
3049,80.2010529
3050,15.498445
3051,16.7
3052,23.3245771
3054,8.0651041
3055,11.4974918
3056,48.0555051
3057,6.7864629
3058,20.1722779
3059,30.7717025
3060,13.756319
3062,33.0091818
3090,28.756715
3092,10.655203
3094,8.3117089
3130,3.31907
3135,7.7493405
3138,5.1736226
3149,22.6233604
3150,4.4377001
3164,8.6010364
